                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     250417 |     283083 |     266422 |     325719 |     280869 |     298161 |     282729 |     188141 |     258054 |     317527 |     310354 |     262569 |     292614 |     261868 |     283318 |     301772
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         17 |         17 |         18 |         17 |         18 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     451639 |     500628 |     475639 |     564585 |     497310 |     523248 |     500100 |     358218 |     463089 |     552304 |     541534 |     469856 |     514929 |     468805 |     500985 |     528658
    num cache misses                 |      38003 |      36619 |      34747 |      38780 |      36086 |      36547 |      34569 |      21706 |      40114 |      41216 |      40366 |      34214 |      38503 |      34723 |      36769 |      38310
    miss rate                        |      8.41% |      7.31% |      7.31% |      6.87% |      7.26% |      6.98% |      6.91% |      6.06% |      8.66% |      7.46% |      7.45% |      7.28% |      7.48% |      7.41% |      7.34% |      7.25%
    mpki                             |      52.13 |      45.17 |      45.18 |      42.28 |      44.82 |      43.08 |      42.69 |      37.86 |      53.62 |      45.96 |      45.93 |      45.06 |      46.14 |      45.83 |      45.32 |      44.68
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38278 |      36908 |      35064 |      39104 |      36379 |      36912 |      34884 |      21994 |      40430 |      41556 |      40670 |      34496 |      38872 |      34979 |      37097 |      38643
    num cache misses                 |      38020 |      36637 |      34765 |      38798 |      36104 |      36565 |      34587 |      21724 |      40132 |      41234 |      40383 |      34231 |      38521 |      34740 |      36787 |      38327
    miss rate                        |     99.33% |     99.27% |     99.15% |     99.22% |     99.24% |     99.06% |     99.15% |     98.77% |     99.26% |     99.23% |     99.29% |     99.23% |     99.10% |     99.32% |     99.16% |     99.18%
    mpki                             |      52.15 |      45.19 |      45.21 |      42.30 |      44.84 |      43.10 |      42.71 |      37.89 |      53.64 |      45.98 |      45.95 |      45.08 |      46.16 |      45.85 |      45.35 |      44.70
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38278 |      36908 |      35064 |      39104 |      36379 |      36912 |      34884 |      21994 |      40430 |      41556 |      40670 |      34496 |      38872 |      34979 |      37097 |      38643
    num cache misses                 |      19453 |      19475 |      18336 |      21808 |      19826 |      20600 |      19670 |      12320 |      19356 |      20003 |      19872 |      17536 |      20042 |      18342 |      19773 |      20194
    miss rate                        |     50.82% |     52.77% |     52.29% |     55.77% |     54.50% |     55.81% |     56.39% |     56.02% |     47.88% |     48.14% |     48.86% |     50.83% |     51.56% |     52.44% |     53.30% |     52.26%
    mpki                             |      26.68 |      24.02 |      23.84 |      23.78 |      24.62 |      24.28 |      24.29 |      21.49 |      25.87 |      22.30 |      22.61 |      23.09 |      24.02 |      24.21 |      24.37 |      23.55
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     139.95 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      86.52 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          4 |          3 |          3 |          2 |          3 |          2 |          2 |          2 |          2 |          3 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      13718 |      14374 |      13510 |      15424 |      14761 |      15157 |      14757 |       9163 |      13614 |      15019 |      14899 |      13233 |      15095 |      13986 |      15108 |      15562
