                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      9.48% |      9.07% |      9.04% |      8.74% |      7.64% |      8.75% |      8.89% |      6.49% |     10.51% |      9.32% |      9.09% |      8.24% |      9.33% |      9.38% |      9.32% |      7.27%
    mpki                             |      54.70 |      51.47 |      51.87 |      49.10 |      45.07 |      50.25 |      50.63 |      39.14 |      60.11 |      52.56 |      51.98 |      48.02 |      52.70 |      53.44 |      53.39 |      42.81
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7197 |       7798 |       7131 |       8067 |       5086 |       6871 |       7365 |       3925 |       8410 |       8354 |       7265 |       5847 |       8251 |       7774 |       7457 |       4901
    num cache misses                 |       6805 |       7329 |       6742 |       7603 |       4798 |       6509 |       6976 |       3661 |       7988 |       7851 |       6899 |       5544 |       7770 |       7350 |       7039 |       4614
    miss rate                        |     94.55% |     93.99% |     94.54% |     94.25% |     94.34% |     94.73% |     94.72% |     93.27% |     94.98% |     93.98% |     94.96% |     94.82% |     94.17% |     94.55% |     94.39% |     94.14%
    mpki                             |      54.84 |      51.66 |      52.09 |      49.30 |      45.30 |      50.50 |      50.86 |      39.40 |      60.27 |      52.74 |      52.19 |      48.22 |      52.91 |      53.64 |      53.64 |      43.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7197 |       7798 |       7131 |       8067 |       5086 |       6871 |       7365 |       3925 |       8410 |       8354 |       7265 |       5847 |       8251 |       7774 |       7457 |       4901
    num cache misses                 |       3735 |       4116 |       3838 |       4514 |       2851 |       3826 |       4122 |       2245 |       4001 |       4175 |       3649 |       3028 |       4249 |       4085 |       3986 |       2649
    miss rate                        |     51.90% |     52.78% |     53.82% |     55.96% |     56.06% |     55.68% |     55.97% |     57.20% |     47.57% |     49.98% |     50.23% |     51.79% |     51.50% |     52.55% |     53.45% |     54.05%
    mpki                             |      30.10 |      29.01 |      29.65 |      29.27 |      26.92 |      29.68 |      30.05 |      24.16 |      30.19 |      28.05 |      27.60 |      26.33 |      28.93 |      29.81 |      30.38 |      24.70
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     130.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      76.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          3 |          4 |          3 |          2 |          2 |          2 |          2 |          2 |          3 |          3 |          2 |          2 |          4 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2361 |       2734 |       2512 |       2793 |       1730 |       2504 |       2695 |       1285 |       2593 |       2770 |       2402 |       1922 |       2814 |       2772 |       2639 |       1648
